Id,Inode,Jnode,LatitudIn,LongitudIn,LatitudJn,LongitudJn
14-2163,14,2163,6.30037345075166,-75.5436990807763,6.30045602996678,-75.5425781331919
15-2164,15,2164,6.29596732150055,-75.5444810212375,6.29674520484719,-75.5458095320767
15-2165,15,2165,6.29596732150055,-75.5444810212375,6.29380622035137,-75.5436651278226
16-2168,16,2168,6.29190564885681,-75.5445762370299,6.29319925007456,-75.5453493162484
16-2166,16,2166,6.29190564885681,-75.5445762370299,6.29118238893879,-75.5441867455904
16-2167,16,2167,6.29190564885681,-75.5445762370299,6.29266657380765,-75.5439724189971
17-2169,17,2169,6.28736321817438,-75.5459456450626,6.28765268293661,-75.5459470770049
17-2171,17,2171,6.28736321817438,-75.5459456450626,6.28953483526969,-75.5453515263732
18-2157,18,2157,6.28370811570964,-75.5465113730392,6.28355652395867,-75.5456721709979
18-2174,18,2174,6.28370811570964,-75.5465113730392,6.28279316525859,-75.5477760579123
19-4065,19,4065,6.27881442577776,-75.5464158668925,6.27765484498319,-75.5458409289834
19-2175,19,2175,6.27881442577776,-75.5464158668925,6.27870474270411,-75.5475005779462
20-2177,20,2177,6.27295187987456,-75.5472324089884,6.27342103352005,-75.54840811381
20-2178,20,2178,6.27295187987456,-75.5472324089884,6.27313289544802,-75.5456132089131
20-2179,20,2179,6.27295187987456,-75.5472324089884,6.27137039817463,-75.546473352481
21-2181,21,2181,6.26919062967195,-75.5454927980332,6.26829402012447,-75.542419340024
21-2182,21,2182,6.26919062967195,-75.5454927980332,6.27120577419942,-75.5453135254566
